"url","title","price","product_code","country","company","options","category_code","category_name","image_urls"
"http://1020bag.com/goods/goods_view.php?goodsNo=6278","OP_M1989 클러치백","8,800","6278","대한민국","올리비아팝","['블랙', '아이보리', '와인', '베이지']","['003']","['여성']","http://1020bag.com/data/goods/19/12/50//6278/6278_detail_067.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6310","URB_가로핸들 핸드백","14,300","6310","중국OEM","SLICKKOREA","['블랙:무한', '브라운/일시품절/재입고미정[일시품절]', '아이보리--2개남음/일시품절/재입고미정']","['009']","['신상품']","http://1020bag.com/data/goods/19/12/51//6310/6310_detail_098.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6309","URB_프투터치 메신저백","19,800","6309","중국OEM","SLICKKOREA","['블랙']","['009']","['신상품']","http://1020bag.com/data/goods/19/12/51//6309/6309_detail_07.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6288","BM_0171 크로스백","22,000","6288","중국OEM","BM상사","['라이트브라운']","['004', '004003', '004003003']","['남성', '크로스백', '작은사이즈']","http://1020bag.com/data/goods/19/12/50//6288/register_detail_061.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6287","BM_087 크로스백","22,000","6287","중국OEM","BM상사","['BROWN(TAN)']","['004', '004003', '004003003']","['남성', '크로스백', '작은사이즈']","http://1020bag.com/data/goods/19/12/50//6287/register_detail_022.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6286","BM_890 슬링백","16,500","6286","중국OEM","블루마운트","['브라운']","['004']","['남성']","http://1020bag.com/data/goods/19/12/50//6286/register_detail_013.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6285","BM_VT1908 여성크로스백","8,800","6285","중국OEM","블루마운트","['타입A', '타입B', '타입C', '타입D', '타입E', '타입F']","['004']","['남성']","http://1020bag.com/data/goods/19/12/50//6285/register_detail_079.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6284","BM_WL89010 가죽여성백","36,300","6284","중국OEM","블루마운트","['블랙', '네이비', '브라운', '레드']","['004']","['남성']","http://1020bag.com/data/goods/19/12/50//6284/register_detail_022.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6283","BM_H5003_008 장지갑","5,500","6283","중국OEM","블루마운트","['블랙', '브라운']","['004']","['남성']","http://1020bag.com/data/goods/19/12/50//6283/register_detail_082.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6282","BM_XY1837_28 지갑","4,950","6282","중국OEM","블루마운트","['01_반지갑_블랙', '01_반지갑_브라운', '02_중지갑_블랙', '02_중지갑_브라운']","['021', '021004']","['지갑/벨트', '중지갑']","http://1020bag.com/data/goods/19/12/50//6282/register_detail_054.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6281","BM_XY1837_40 지갑","4,950","6281","중국OEM","블루마운트","['01_반지갑_블랙', '01_반지갑_브라운', '02_중지갑_블랙', '02_중지갑_브라운']","['004']","['남성']","http://1020bag.com/data/goods/19/12/50//6281/register_detail_096.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6280","BM_JY328 미니크로스백","8,250","6280","중국OEM","블루마운트","['블랙', '네이비', '블루', '레드', '퍼플']","['004']","['남성']","http://1020bag.com/data/goods/19/12/50//6280/register_detail_093.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6279","BM_JY329 미니크로스백","8,250","6279","중국OEM","블루마운트","['그레이A', '그레이B', '블루A', '블루B', '오렌지A', '오렌지B']","['004']","['남성']","http://1020bag.com/data/goods/19/12/50//6279/register_detail_079.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6274","GE_5631 24인치캐리어/배송비별도","85,800","6274","중국OEM","GENOVA","['실버', '블랙']","['005', '005001']","['여행', '캐리어']","http://1020bag.com/data/goods/19/12/50//6274/register_detail_063.jpg"
"http://1020bag.com/goods/goods_view.php?goodsNo=6273","GE_008 백팩(USB장착)","11,000","6273","중국OEM","GENOVA","['블랙/일시품절/재입고미정[일시품절]', '네이비', '브라운']","['006', '006001']","['캐주얼', '백팩']","http://1020bag.com/data/goods/19/12/50//6273/register_detail_09.jpg"
